brand,title,accords,gender,age,secondary notes
Lush,Karma Lush for women and men,"citrus,aromatic,woody,patchouli,fresh spicy,",unisex,older_twenty_five,"blackcurrant,anisic,dry"
Mirus-Fine-Fragrance,December Kiss Mirus Fine Fragrance for women and men,"citrus,balsamic,amber,rose,smoky,animalic",unisex,older_twenty_five,"musk,leather,phenolic,tobacco,dry"
Philosophy,Pure Grace Summer Philosophy for women,"citrus,coconut,vanilla,sweet,woody,cacao,",female,older_twenty_five,"nut,dairy,powdery,coffee,grass"
Hinode,Grace Hinode for women,"citrus,floral,amber,fresh,animalic",female,older_twenty_five,"musk,leather,tobacco,meat,tropicalfruit"
Yardley,Duchess Yardley for women,"citrus,floral,amber,tuberose,patchouli,yellow floral",female,older_twenty_five,"lemon,pungent,violetflower"
The-Fragrance-Kitchen,27 The Fragrance Kitchen for women and men,"citrus,floral,aromatic,fresh,warm spicy",unisex,older_twenty_five,"lemon,pungent,violetflower"
L-Erbolario,Tra i Ciliegi L'Erbolario for women,"citrus,floral,balsamic,fresh,aromatic,fruity,",female,older_twenty_five,"cacao,lemon,pungent,violetflower,berry"
Eva-Longoria,Eva Eva Longoria for women,"citrus,floral,fresh spicy,fresh,aldehydic,white floral,",female,older_twenty_five,"fatty,waxy,lily,pungent,lemon"
Victorio-Lucchino,No 5 Frescor Absoluto Victorio & Lucchino for men,"citrus,floral,fresh spicy,woody,aromatic,powdery,",male,older_twenty_five,"vanilla,dry,musk,violetflower,almond"
Adopt-by-Reserve-Naturelle,Fleur de Pivoine Adopt' by Reserve Naturelle for women,"citrus,floral,fresh,aromatic,rose,fresh spicy",female,older_twenty_five,"lemon,pungent,violetflower"
